steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
812	1	0.6263027191162109	69.0	69.0	0.0	69.0	69.0	-3.4775372	0.020480498015240302	812	313	812
882	2	0.7502400875091553	69.0	69.0	0.0	69.0	69.0	-3.868008	0.08615085648285457	882	383	882
964	3	0.876415491104126	69.0	69.0	0.0	69.0	69.0	-4.43828	0.2813273306717747	964	465	964
1014	4	1.2096269130706787	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-4.6216207	0.37992929374682716	1014	515	1014
1119	5	1.3754653930664062	49.0	49.0	0.0	49.0	49.0	-5.1687737	0.445112226640631	1119	620	1119
1206	6	1.50874662399292	69.0	69.0	0.0	69.0	69.0	-5.4037676	0.32074078397708944	1206	707	1206
1298	7	1.6479198932647705	69.0	69.0	0.0	69.0	69.0	-5.712066	0.4889150843442621	1298	799	1298
1366	8	1.7563443183898926	69.0	69.0	0.0	69.0	69.0	-6.165573	0.6553556297333852	1366	867	1366
2366	9	3.214048147201538	72.0	72.0	0.0	72.0	72.0	-8.56333	0.2308534810434503	2366	1867	2366
2487	10	3.6517298221588135	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-8.635316	0.2679263768094461	2487	1988	2487
2560	11	3.7660038471221924	72.0	72.0	0.0	72.0	72.0	-8.808283	0.26833509879914347	2560	2061	2560
2602	12	4.083716630935669	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-8.817811	0.23457884802497575	2602	2103	2602
2655	13	4.169450521469116	72.0	72.0	0.0	72.0	72.0	-8.88194	0.3352448230375012	2655	2156	2655
2745	14	4.311301946640015	72.0	72.0	0.0	72.0	72.0	-9.018194	0.4037614566771663	2745	2246	2745
2845	15	4.469095945358276	72.0	72.0	0.0	72.0	72.0	-9.103259	0.37883442495476627	2845	2346	2845
2930	16	4.857258319854736	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.09533	0.5016265182429197	2930	2431	2930
3025	17	5.262089729309082	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.182388	0.477726707511174	3025	2526	3025
3103	18	5.384886980056763	72.0	72.0	0.0	72.0	72.0	-9.173952	0.43107070215875865	3103	2604	3103
3263	19	5.884457588195801	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.325039	0.31321276216738625	3263	2764	3263
3591	20	6.370873212814331	72.0	72.0	0.0	72.0	72.0	-9.396263	0.544576859332592	3591	3092	3591
3651	21	6.4667229652404785	72.0	72.0	0.0	72.0	72.0	-9.350959	0.6267193522797606	3651	3152	3651
3740	22	6.609780311584473	72.0	72.0	0.0	72.0	72.0	-9.432871	0.5187144125525083	3740	3241	3740
3843	23	7.024407386779785	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.578961	0.4551960359630175	3843	3344	3843
3911	24	7.392199993133545	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.476476	0.7864134953563916	3911	3412	3911
4038	25	7.588742017745972	72.0	72.0	0.0	72.0	72.0	-9.563571	1.0289349490142194	4038	3539	4038
4130	26	7.732743501663208	72.0	72.0	0.0	72.0	72.0	-9.564862	0.727457835644891	4130	3631	4130
4329	27	8.032288074493408	72.0	72.0	0.0	72.0	72.0	-9.520052	0.7331303820972971	4329	3830	4329
4429	28	8.189374446868896	72.0	72.0	0.0	72.0	72.0	-9.532085	0.8379660204710672	4429	3930	4429
4465	29	8.251199007034302	72.0	72.0	0.0	72.0	72.0	-9.563193	0.5215838561562123	4465	3966	4465
4494	30	8.302394390106201	72.0	72.0	0.0	72.0	72.0	-9.562256	0.6178418090715422	4494	3995	4494
4555	31	8.399927854537964	72.0	72.0	0.0	72.0	72.0	-9.4904375	0.950325570232526	4555	4056	4555
4614	32	8.496314525604248	72.0	72.0	0.0	72.0	72.0	-9.561605	0.8773638697198476	4614	4115	4614
4662	33	8.575728178024292	72.0	72.0	0.0	72.0	72.0	-9.462224	0.7227115623635473	4662	4163	4662
4714	34	8.659196376800537	72.0	72.0	0.0	72.0	72.0	-9.509711	0.5083229601633502	4714	4215	4714
4778	35	8.759845495223999	72.0	72.0	0.0	72.0	72.0	-9.458581	0.7018998096822179	4778	4279	4778
4834	36	8.85136604309082	72.0	72.0	0.0	72.0	72.0	-9.400973	0.8949722226534504	4834	4335	4834
4904	37	8.961494207382202	72.0	72.0	0.0	72.0	72.0	-9.413758	0.8501699913316406	4904	4405	4904
4946	38	9.031383752822876	72.0	72.0	0.0	72.0	72.0	-9.3735075	0.7125064561603358	4946	4447	4946
4986	39	9.100167512893677	72.0	72.0	0.0	72.0	72.0	-9.394696	0.8177858228277182	4986	4487	4986
5020	40	9.160510540008545	72.0	72.0	0.0	72.0	72.0	-9.433022	0.7509577746671857	5020	4521	5020
5068	41	9.239130735397339	72.0	72.0	0.0	72.0	72.0	-9.383046	0.8069627393846167	5068	4569	5068
5129	42	9.33797025680542	72.0	72.0	0.0	72.0	72.0	-9.390752	1.0896784544043476	5129	4630	5129
5191	43	9.437571048736572	72.0	72.0	0.0	72.0	72.0	-9.392609	0.983440276744077	5191	4692	5191
5231	44	9.759342908859253	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.472889	0.9408137683276436	5231	4732	5231
5311	45	10.138545989990234	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.502467	0.8194362490501953	5311	4812	5311
5362	46	10.222385883331299	72.0	72.0	0.0	72.0	72.0	-9.419305	0.5895704236329766	5362	4863	5362
5412	47	10.303833484649658	72.0	72.0	0.0	72.0	72.0	-9.368782	0.5703263561957282	5412	4913	5412
5458	48	10.379640817642212	72.0	72.0	0.0	72.0	72.0	-9.277449	0.7684322839515516	5458	4959	5458
